Description,Quantity,InvoiceNo,UnitPrice,CustomerID,Country
 4 PURPLE FLOCK DINNER CANDLES,144,536522,2.55,15012.0,35
 50'S CHRISTMAS GIFT BAG LARGE,1915,564065,1.25,15150.0,35
 DOLLY GIRL BEAKER,2455,561080,1.25,13230.0,35
 I LOVE LONDON MINI BACKPACK,389,566240,4.15,14508.0,35
 I LOVE LONDON MINI RUCKSACK,1,569720,4.15,14646.0,24
 NINE DRAWER OFFICE TIDY,59,569213,14.95,13782.0,35
 OVAL WALL MIRROR DIAMANTE ,238,536862,20.38,16893.0,35
 RED SPOT GIFT BAG LARGE,1727,562199,1.25,12748.0,35
 SET 2 TEA TOWELS I LOVE LONDON ,2789,536370,2.95,12583.0,13
 SPACEBOY BABY GIFT SET,499,546109,16.95,14291.0,35
 TOADSTOOL BEDSIDE LIGHT ,2,556892,8.95,17581.0,35
 TRELLIS COAT RACK,227,565441,4.95,13240.0,35
*Boombox Ipod Classic,1,538071,16.98,,35
*USB Office Mirror Ball,2,539437,8.47,,35
10 COLOUR SPACEBOY PEN,6564,536408,0.85,14307.0,35
12 COLOURED PARTY BALLOONS,2155,536743,0.65,17964.0,35
12 DAISY PEGS IN WOOD BOX,349,536412,1.65,17920.0,35
12 EGG HOUSE PAINTED WOOD,149,537237,25.49,16270.0,35
12 HANGING EGGS HAND PAINTED,42,576624,2.08,16156.0,35
12 IVORY ROSE PEG PLACE SETTINGS,969,536592,2.51,15351.0,35
12 MESSAGE CARDS WITH ENVELOPES,1740,536520,1.65,14729.0,35
12 PENCIL SMALL TUBE WOODLAND,4506,536525,0.65,14078.0,35
12 PENCILS SMALL TUBE RED RETROSPOT,6640,536544,1.28,17017.0,35
12 PENCILS SMALL TUBE SKULL,6983,536525,0.65,14078.0,35
12 PENCILS TALL TUBE POSY,3812,536743,0.85,17964.0,35
12 PENCILS TALL TUBE RED RETROSPOT,2746,536638,0.85,16244.0,35
12 PENCILS TALL TUBE SKULLS,2156,536408,0.85,14307.0,35
12 PENCILS TALL TUBE WOODLAND,1976,536544,1.66,14449.0,35
12 PINK HEN+CHICKS IN BASKET,41,541265,2.55,17609.0,35
12 PINK ROSE PEG PLACE SETTINGS,214,537128,1.25,12841.0,35
12 RED ROSE PEG PLACE SETTINGS,457,536876,2.51,17841.0,35
15 PINK FLUFFY CHICKS IN BOX,10,542595,2.95,14040.0,35
15CM CHRISTMAS GLASS BALL 20 LIGHTS,1359,536544,16.98,14696.0,35
16 PC CUTLERY SET PANTRY DESIGN,4,554348,15.95,13523.0,35
16 PIECE CUTLERY SET PANTRY DESIGN,254,550458,33.29,17061.0,35
18PC WOODEN CUTLERY SET DISPOSABLE,567,557223,1.25,13647.0,35
2 DAISIES HAIR COMB,18,537638,2.96,14911.0,35
2 PICTURE BOOK EGGS EASTER BUNNY,182,541406,1.25,14657.0,35
2 PICTURE BOOK EGGS EASTER CHICKS,171,541850,1.25,14224.0,35
2 PICTURE BOOK EGGS EASTER DUCKS,124,541847,1.25,15443.0,35
20 DOLLY PEGS RETROSPOT,2470,536532,1.25,12433.0,25
200 BENDY SKULL STRAWS,661,536732,1.25,15544.0,35
200 RED + WHITE BENDY STRAWS,918,536532,1.25,12433.0,25
3 BIRDS CANVAS SCREEN,2,550298,1.65,17346.0,35
3 BLACK CATS W HEARTS BLANK CARD,24,564049,0.19,17585.0,35
3 DRAWER ANTIQUE WHITE WOOD CABINET,742,564722,8.95,16456.0,35
3 GARDENIA MORRIS BOXED CANDLES,504,536597,4.25,18011.0,35
3 HEARTS HANGING DECORATION RUSTIC,3463,536860,2.95,16905.0,35
3 HOOK HANGER MAGIC GARDEN,1705,536527,1.95,12662.0,14
3 HOOK PHOTO SHELF ANTIQUE WHITE,1811,536539,8.5,15165.0,35
3 PIECE SPACEBOY COOKIE CUTTER SET,2628,536404,2.1,16218.0,35
3 PINK HEN+CHICKS IN BASKET,12,541265,1.25,17609.0,35
